date,close,return,ma_10,ma_50,volatility,rsi,macd,bb_high,bb_low
2023-10-09,24517.64743616608,0.009590457239211592,24671.983174422254,28446.964597858223,0.018327964084847163,27.799369354953342,-1157.9591522658739,28102.500402857644,23137.957874881155
2023-10-10,23461.525159977573,-0.04307600388406829,24537.682822145565,28316.195101057776,0.022515164620888446,26.78266663793417,-1186.222745841471,28072.00756809245,22850.38146642418
2023-10-11,23675.074290185083,0.00910209923486982,24376.46364135949,28181.64587456631,0.021461894521141507,27.300016286571093,-1177.8131207819642,28029.71452883853,22633.372949941673
2023-10-12,23470.828074558012,-0.008627057010408001,24181.457524082864,28044.50546572031,0.021070814434902337,32.453184326749536,-1174.0951568590754,27744.39802383169,22514.696944231266
2023-10-13,23097.100905405896,-0.01592305000764882,23953.88630641188,27889.46245658612,0.02110466858883991,35.20177026515323,-1187.6152139246806,27415.598042319405,22400.308919838943
2023-10-14,23473.396730431345,0.016291907221021695,23780.507009401535,27717.836213489027,0.022600495288601533,37.9118776271455,-1154.655874142998,27154.000545006897,22326.38935572573
2023-10-15,24101.8966476726,0.026774988062398863,23760.630445864273,27561.89173368968,0.02233301849103471,39.51318343016449,-1065.5378125495845,26648.557262316663,22501.31345805893
2023-10-16,24687.138973844543,0.02428200297790495,23840.57977622741,27420.748499518748,0.02277513223495739,43.988936619027434,-936.8870908367608,26323.973849226062,22634.810639314306
2023-10-17,24193.879122191316,-0.019980438080565932,23896.323296214832,27244.039679072634,0.02360533269853237,40.99846384531898,-864.7639541185708,25851.514687375573,22850.30939861045
2023-10-18,24031.04683020276,-0.006730309396280498,23870.953417063523,27050.73970270426,0.022030061075531255,41.01594554491072,-811.3918337815448,25686.82194068478,22870.201161072204
2023-10-19,24254.09305286278,0.009281585785089197,23844.59797873319,26869.13644504577,0.02201403920915231,49.60280365895749,-742.5365783334273,25655.194972794307,22861.386180361136
2023-10-20,24869.871203177954,0.02538862817805887,23985.432583053225,26690.139147598158,0.017637330209488954,58.09748377435998,-631.0062940873031,25664.135427231253,22858.979977967538
2023-10-21,24596.8160349038,-0.010979355946132197,24077.6067575251,26512.84068409538,0.018371073063858944,57.8888985365152,-558.2162410036653,25555.334442214968,22898.735956669625
2023-10-22,24507.247358582994,-0.0036414744165954582,24181.2486859276,26340.873676060146,0.01805593577216895,52.0124521011439,-501.9706380833377,25394.638680241038,22968.06752976942
2023-10-23,23853.923984206147,-0.026658374350150726,24256.930993807626,26151.17293576435,0.01965215363887621,44.42112925107078,-504.30007149396624,25187.76239237328,23023.05490784623
2023-10-24,23164.42236118475,-0.028905165602016836,24226.033556882965,25978.908771516537,0.021471616373089086,47.33870708881408,-555.3810952733002,25032.06257498583,22974.477991298663
2023-10-25,23658.129066778638,0.021313145559854973,24181.656798793567,25843.29008959482,0.020740299811594157,49.85546757078739,-549.6887004060445,25000.962463298023,22941.32478135981
2023-10-26,24483.93973688192,0.034906000714270524,24161.336875097306,25732.136592621046,0.02242097606023327,57.81282132141364,-473.08795353136884,25054.844580502227,22947.07207082249
2023-10-27,24464.34638968834,-0.0008002530395083696,24188.38360184701,25635.203937490358,0.021374892761000016,61.1529678439424,-409.24480970446893,25100.98203098605,22983.72486707579
2023-10-28,25102.580146764984,0.026088322447300527,24295.53693350323,25545.84428941206,0.022492216608684886,62.7450178411462,-303.6482598772309,25239.935806143636,22926.55454442311
2023-10-29,25354.63265947964,0.010040900626190785,24405.590894164918,25474.3596716984,0.022511053640469528,60.41342508413692,-197.3487880880275,25402.252166577557,22847.93670632055
2023-10-30,24971.067932154456,-0.015127993865128087,24415.710567062568,25415.053352697458,0.022009320172905703,52.44205215408898,-142.4144931328192,25490.964201797673,22910.178948318127
2023-10-31,25221.649855474927,0.010034890137710306,24478.19394911968,25339.727481162747,0.02178041055002968,59.224874027603306,-77.76240498984407,25620.023261829174,22935.7774448156
2023-11-01,26216.666998938443,0.03945091416164925,24649.135913155224,25286.994588942085,0.024476841544917246,67.06759981686434,53.15170861772276,25956.662199917104,22873.722399165723
2023-11-02,26219.40268250647,0.00010434902225120446,24885.683782985256,25232.765137994425,0.02168780714755491,65.89407336253964,155.3322600351421,26181.60233808542,22961.012438707465
2023-11-03,27271.22263684939,0.04011609139535022,25296.36381055172,25219.6030746337,0.01882723870583518,68.14102707225658,317.5239447110798,26690.471637798237,22831.92572963645
2023-11-04,25512.40255985055,-0.06449362760224353,25481.791159858913,25178.3081444548,0.0316404020058004,55.64874891023126,300.6739599562934,26762.64134332292,22900.806615329562
2023-11-05,26062.132651324653,0.02154756260938062,25639.610451303186,25145.926808728254,0.030646094546331566,59.077510768044455,327.89903378502277,26906.179689932695,22894.76763646779
2023-11-06,26144.910589959283,0.003176176705954381,25807.66687133028,25130.57784916968,0.030563706192977255,64.32950986510315,352.0958470315454,27048.318688849537,22947.731784327752
